"","County","X3.10.20","X3.17.20","X3.24.20","X3.31.20","X4.7.20","X4.14.20","X4.21.20","X4.28.20","X5.5.20","X5.12.20","X5.19.20","X5.26.20","X6.2.20","X6.9.20","X6.16.20","X6.23.20","X6.30.20","X7.7.20","X7.14.20","X7.21.20","X7.28.20","X8.4.20","X8.11.20","X8.18.20","X8.25.20","X9.1.20","X9.8.20","X9.15.20","X9.22.20","X9.29.20","X10.6.20","X10.13.20","X10.20.20","X10.27.20","X11.3.20","X11.10.20","X11.17.20","X11.24.20","X12.1.20","X12.8.20","X12.15.20","X12.22.20","X12.29.20","X1.5.21","X1.12.21","X1.19.21","X1.26.21","X2.2.21","X2.9.21","X2.16.21","X2.23.21","X3.2.21","X3.9.21","X3.16.21","X3.23.21","X3.30.21","X4.6.21","X4.13.21","X4.20.21","X4.27.21","X5.4.21","X5.11.21","X5.18.21","X5.25.21","X6.1.21","X6.8.21","X6.15.21","X6.22.21","X6.29.21","X7.6.21","X7.13.21","X7.20.21","X7.27.21","X8.3.21","X8.10.21","X8.17.21","X8.24.21","X8.31.21","X9.7.21","X9.14.21","X9.21.21","X9.28.21","X10.5.21","X10.12.21","X10.19.21","X10.26.21","X11.2.21","X11.9.21","X11.16.21","X11.23.21","X11.30.21"
"1","Alcona County",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0164592297690379,0.0109368317509195,0.0326947319274765,0.0650605395055471,0,0.0321641513496584,0,0,0,0,0,0.0605237315875613,0,0,0.0727870952713719,0.0764785168483026,0,0.171790182868142,0,0.0850845147219193,0.251147642679901,0,0,0,0.0832049830124575,0,0,0,0,0,0,0,0,0.237605188757692,0,0.0786762476102577,0,0.0792088990455706,0.0788390614909952,0,0,0.0813030949839914,0.0832946940726577,0.252921038100497,0,0.262768113171478,0,0.273601108033241
"2","Alger County",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0109368317509195,0,0,0,0,0,0.0836034257631371,0,0,0,0,0,0,0,0.0764785168483026,0,0,0,0,0,0,0.0829218282785134,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0813315318673127,0,0.0832946940726577,0,0,0,0,0
"3","Allegan County",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0493776893071138,0.142178812761953,0.0817368298186912,0.151807925512943,0.161300937094842,0.19298490809795,0.147910150790127,0.0836034257631371,0,0,0,0,0,0,0.291148381085488,0.305914067393211,0,0.515370548604427,0.419733534439417,0.255253544165758,0.251147642679901,0.589844372059356,0.165843656557027,0.41619094488189,0.166409966024915,0.16544,0,0.083782129742962,0,0,0,0.0796820448877805,0,0.0792017295858972,0.0792144343209699,0.157352495220515,0.157636895268474,0,0.394195307454976,0.398914986996099,0.0813315318673127,0.325212379935966,0.416473470363289,0.505842076200994,0.514631921824104,0.175178742114318,0.889964370546318,0.638402585410896
"4","Alpena County",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0329184595380758,0.0765578222564363,0.065389463854953,0.0433736930036981,0.026883489515807,0.0321641513496584,0,0.0418017128815686,0.0468719611021069,0,0,0,0,0.139188535268937,0.218361285814116,0.0764785168483026,0.0808125637662148,0.343580365736285,0.0839467068878833,0.0850845147219193,0,0,0.165843656557027,0,0,0.08272,0,0.083782129742962,0,0,0.159686658506732,0,0,0,0,0,0.0788184476342371,0.0792088990455706,0.0788390614909952,0,0,0,0.0832946940726577,0.252921038100497,0,0.525536226342955,0.177992874109264,0
"5","Antrim County",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0109728198460253,0.0218736635018389,0.0490420978912147,0.021686846501849,0.026883489515807,0.0321641513496584,0,0,0.0468719611021069,0,0,0,0,0,0.145574190542744,0.0764785168483026,0.323250255064859,0,0,0.0850845147219193,0,0.0842634817227651,0,0,0,0.08272,0,0,0,0,0,0.0796820448877805,0,0.158403459171794,0,0,0,0.0792088990455706,0,0,0.0813315318673127,0.162606189967983,0.0832946940726577,0,0,0.175178742114318,0.177992874109264,0
"6","Arenac County",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00548640992301264,0,0,0,0,0.0321641513496584,0,0,0,0.0512707867957309,0,0.0605237315875613,0.0641134884884885,0,0,0.0764785168483026,0,0.0858950914340712,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0792144343209699,0.0786762476102577,0,0,0,0,0.0813315318673127,0.0813030949839914,0,0.168614025400331,0.171543973941368,0.0875893710571592,0.355985748218527,0.182400738688827
"7","Baraga County",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00548640992301264,0,0,0.021686846501849,0.026883489515807,0,0.0369775376975317,0,0,0,0.0554475984658217,0,0,0,0,0,0,0.0858950914340712,0.167893413775767,0.0850845147219193,0,0,0,0,0.0832049830124575,0,0.0818668407310705,0,0,0,0,0,0.0793574816731349,0,0,0.0786762476102577,0.157636895268474,0.0792088990455706,0,0,0.0813315318673127,0,0.0832946940726577,0,0,0,0,0
"8","Barry County",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0219456396920506,0,0.0163473659637382,0.021686846501849,0.026883489515807,0,0.0369775376975317,0.0418017128815686,0.0937439222042139,0.153812360387193,0.0554475984658217,0.0605237315875613,0.128226976976977,0.0695942676344686,0,0.305914067393211,0.323250255064859,0.257685274302214,0,0.0850845147219193,0.1674317617866,0,0.0829218282785134,0,0.0832049830124575,0,0,0,0.0811636178861788,0,0,0,0.15871496334627,0.0792017295858972,0.0792144343209699,0,0,0.0792088990455706,0.0788390614909952,0.0797829973992197,0.0813315318673127,0.243909284951974,0.249884082217973,0.337228050800663,0.343087947882736,0.175178742114318,0.444982185273159,0.273601108033241
"9","Bay County",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0713233289991643,0.262483962022067,0.212515757528597,0.477110623040679,0.215067916126456,0.289477362146926,0.22186522618519,0.125405138644706,0.374975688816856,0.102541573591462,0.110895196931643,0.242094926350245,0.384680930930931,0.208782802903406,0.218361285814116,0.152957033696605,0.565687946363503,0.343580365736285,0.75552036199095,0.765760632497274,0.1674317617866,0.0842634817227651,0.414609141392567,0.166476377952756,0.0832049830124575,0.08272,0,0,0,0.0811495089123317,0,0,0.15871496334627,0.237605188757692,0.23764330296291,0.157352495220515,0.0788184476342371,0.0792088990455706,0,0.239348992197659,0.487989191203876,0.325212379935966,0.583062858508604,0.337228050800663,0.686175895765472,1.05107245268591,0.622975059382423,0.729602954755309
"10","Benzie County",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00548640992301264,0.0109368317509195,0,0.021686846501849,0.026883489515807,0.0321641513496584,0,0,0,0.0512707867957309,0,0,0,0,0,0,0,0.0858950914340712,0.0839467068878833,0,0,0.0842634817227651,0.0829218282785134,0,0,0,0,0,0,0,0,0,0.15871496334627,0,0,0,0,0,0,0,0,0,0.166589388145315,0,0,0.0875893710571592,0.266989311163895,0.0912003693444137
"11","Berrien County",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.076809738922177,0.0656209905055168,0.0490420978912147,0.21686846501849,0.053766979031614,0.128656605398634,0.258842763882722,0.125405138644706,0.187487844408428,0.153812360387193,0.166342795397465,0.0605237315875613,0.0641134884884885,0.208782802903406,0.36393547635686,0.0764785168483026,0.646500510129718,0.257685274302214,0.419733534439417,0.255253544165758,0.418579404466501,0.252790445168295,0.165843656557027,0.166476377952756,0,0.16544,0.245600522193211,0.251346389228886,0.162327235772358,0.0811495089123317,0.159686658506732,0,0,0.158403459171794,0.31685773728388,0.0786762476102577,0.0788184476342371,0.237626697136712,0.315356245963981,0.239348992197659,0.569320723071189,0.56912166488794,0.0832946940726577,0.0843070127001656,0.171543973941368,0.350357484228637,0.444982185273159,0.456001846722068
"12","Branch County",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0164592297690379,0.0109368317509195,0.0490420978912147,0.108434232509245,0.026883489515807,0.0643283026993168,0.0369775376975317,0.0836034257631371,0,0.0512707867957309,0,0,0.0641134884884885,0,0.145574190542744,0.0764785168483026,0.242437691298644,0,0.0839467068878833,0.0850845147219193,0,0,0,0,0,0.08272,0,0,0,0,0,0,0.0793574816731349,0.0792017295858972,0.15842886864194,0.0786762476102577,0.157636895268474,0.158417798091141,0.236517184472985,0.0797829973992197,0.0813315318673127,0,0.0832946940726577,0.168614025400331,0,0.0875893710571592,0.355985748218527,0.364801477377655
"13","Calhoun County",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0493776893071138,0.0546841587545974,0.0326947319274765,0.21686846501849,0.134417447579035,0.160820756748292,0.147910150790127,0.209008564407843,0,0.153812360387193,0.166342795397465,0.0605237315875613,0.320567442442442,0.208782802903406,0.218361285814116,0.841263685331329,0.484875382597289,0.343580365736285,0.839467068878833,0.595591603053435,0.502295285359801,0.674107853782121,0.746296454506621,0,0.0832049830124575,0.33088,0.0818668407310705,0.083782129742962,0,0,0,0.0796820448877805,0.0793574816731349,0.237605188757692,0.15842886864194,0,0.394092238171185,0.0792088990455706,0.15767812298199,0.159565994798439,0.325326127469251,0.325212379935966,0.666357552581262,0.252921038100497,0.343087947882736,0.788304339514433,0.711971496437054,1.45920590951062
"14","Cass County",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0164592297690379,0.0437473270036779,0.065389463854953,0.021686846501849,0,0.0321641513496584,0.0739550753950634,0.167206851526274,0,0.102541573591462,0.110895196931643,0,0.0641134884884885,0.0695942676344686,0.0727870952713719,0.152957033696605,0.0808125637662148,0.0858950914340712,0.0839467068878833,0.0850845147219193,0,0,0,0.0832381889763779,0,0,0,0.083782129742962,0,0,0,0,0,0,0.0792144343209699,0.0786762476102577,0.0788184476342371,0.158417798091141,0,0.239348992197659,0.0813315318673127,0.0813030949839914,0.0832946940726577,0.252921038100497,0.085771986970684,0.175178742114318,0.177992874109264,0.364801477377655
"15","Charlevoix County",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00548640992301264,0,0.0163473659637382,0.021686846501849,0,0,0,0.0418017128815686,0,0,0,0,0,0,0.0727870952713719,0.229435550544908,0.0808125637662148,0.171790182868142,0,0,0.0837158808933002,0,0,0.0832381889763779,0,0,0,0,0,0,0,0,0.238072445019405,0.0792017295858972,0,0.0786762476102577,0.0788184476342371,0.0792088990455706,0,0,0.162663063734625,0,0.0832946940726577,0.252921038100497,0.257315960912052,0.0875893710571592,0.266989311163895,0
"16","Cheboygan County",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.021686846501849,0,0.0321641513496584,0,0,0.0937439222042139,0.0512707867957309,0,0,0,0,0,0.152957033696605,0.0808125637662148,0.0858950914340712,0,0.255253544165758,0,0,0,0,0.0832049830124575,0,0,0.083782129742962,0,0,0,0,0.15871496334627,0.0792017295858972,0.15842886864194,0,0.0788184476342371,0.158417798091141,0.15767812298199,0.0797829973992197,0.325326127469251,0.0813030949839914,0,0.252921038100497,0.171543973941368,0.262768113171478,0.0889964370546318,0.182400738688827
