"","County","X3.10.20","X3.17.20","X3.24.20","X3.31.20","X4.7.20","X4.14.20","X4.21.20","X4.28.20","X5.5.20","X5.12.20","X5.19.20","X5.26.20","X6.2.20","X6.9.20","X6.16.20","X6.23.20","X6.30.20","X7.7.20","X7.14.20","X7.21.20","X7.28.20","X8.4.20","X8.11.20","X8.18.20","X8.25.20","X9.1.20","X9.8.20","X9.15.20","X9.22.20","X9.29.20","X10.6.20","X10.13.20","X10.20.20","X10.27.20","X11.3.20","X11.10.20","X11.17.20","X11.24.20","X12.1.20","X12.8.20","X12.15.20","X12.22.20","X12.29.20","X1.5.21","X1.12.21","X1.19.21","X1.26.21","X2.2.21","X2.9.21","X2.16.21","X2.23.21","X3.2.21","X3.9.21","X3.16.21","X3.23.21","X3.30.21","X4.6.21","X4.13.21","X4.20.21","X4.27.21","X5.4.21","X5.11.21","X5.18.21","X5.25.21","X6.1.21","X6.8.21","X6.15.21","X6.22.21","X6.29.21","X7.6.21","X7.13.21","X7.20.21","X7.27.21","X8.3.21","X8.10.21","X8.17.21","X8.24.21","X8.31.21","X9.7.21","X9.14.21","X9.21.21","X9.28.21","X10.5.21","X10.12.21","X10.19.21","X10.26.21","X11.2.21","X11.9.21","X11.16.21","X11.23.21","X11.30.21"
"1","Alcona County","0","0","0","0","0","0","0","0","0.63187769620828","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.533458705532048","0","0","0","0","0","0","0","0","0","0.619786476868327","0","0","0","0.633361070216988","2.5331322055813","1.91731587248483","1.86396416573348","0","1.74780686585971","0.560750277991618","1.07708271729826","1.54895252576449","0","0.467649108383738","0","0","0","0","0","0.328161483906165","0","0","0.265552449724357","0.248379807090066","0","0.441496631376323","0","0.214427480916031","0.610552109181141","0","0","0","0.208878822197056","0","0","0","0","0","0","0","0","0.556486778646267","0","0.179240556397917","0","0.180395214410539","0.179075123771256","0","0","0.195144076840982","0.206793738049713","0.633014908890116","0","0.710347925826802","0","0.782520775623269"
"2","Alger County","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.608001538757453","0","0","0","0.633896713615023","0","0","0","0","0","0","0","0.560750277991618","0","0","0","0","0","0.82207622631422","0","0","0","0","0","0","0","0.248379807090066","0","0","0","0","0","0","0.201947885519009","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.192996645546031","0","0.206793738049713","0","0","0","0","0"
"3","Allegan County","0","0","0","0","0","0","0","0.624654363063469","0.63187769620828","0","0.622874472002599","1.82624896494618","0","0","0","0","0.539302446642374","0","0","0","0","0","0","0","0","0","0","0.539027027027027","0","0","0","0","0","0","0","1.25744948053431","5.07117370892019","5.7228627039976","5.0668885617359","4.43298135976727","3.19552645414138","6.21321388577828","6.12781794071096","5.24342059757912","7.28975361389103","2.69270679324566","3.61422256011714","2.95904764249257","2.80589465030243","1.75829164816733","0.82207622631422","0","0","0","0","0","0","1.06220979889743","0.993519228360266","0","1.32448989412897","1.05187280040221","0.643282442748092","0.610552109181141","1.50387260224394","0.403895771038018","0.998966535433071","0.417757644394111","0.417476923076923","0","0.215048959608323","0","0","0","0.191150249376559","0","0.185495592882089","0.182623574144487","0.358481112795834","0.356573631047315","0","0.895375618856282","0.917291124837451","0.192996645546031","0.780576307363927","1.03396869024857","1.26602981778023","1.34243648208469","0.473565283884535","2.47690023752969","1.82588180978763"
"4","Alpena County","0","0","0","0","0","0","0.603290889005175","1.87396308919041","1.89563308862484","0.617890520694259","0.622874472002599","0","0","0","1.11090092220383","0","0","0","0.514261019878997","0.521612230715775","0","0","0","0.543124827776247","0","0","0","0","0","0","0","0","0","0","0","0.628724740267154","0.633896713615023","0","0.633361070216988","0.633283051395324","1.91731587248483","1.86396416573348","0.612781794071096","3.49561373171941","3.92525194594132","2.15416543459653","1.03263501717632","0.493174607082096","0.467649108383738","0","0.41103811315711","0.390470595045149","0","0","0","0","0.576905692483582","0.796657349173073","0.248379807090066","0.232219550114172","0.882993262752647","0.210374560080442","0.214427480916031","0","0","0.403895771038018","0","0","0.208738461538462","0","0.215048959608323","0","0","0.382482252141983","0","0","0","0","0","0.178286815523658","0.180395214410539","0.179075123771256","0","0","0","0.206793738049713","0.633014908890116","0","1.4206958516536","0.495380047505938","0"
"5","Antrim County","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.628724740267154","1.26779342723005","1.27174726755502","0.633361070216988","0.633283051395324","0.639105290828275","0","0.612781794071096","1.1652045772398","1.12150055598324","1.6156240759474","0.516317508588162","0.493174607082096","0.467649108383738","0","0","0.390470595045149","0","0","0","0","0","0.531104899448715","0.248379807090066","0.928878200456688","0","0","0.214427480916031","0","0.214838943177705","0","0","0","0.208738461538462","0","0","0","0","0","0.191150249376559","0","0.370991185764178","0","0","0","0.180395214410539","0","0","0.192996645546031","0.390288153681964","0.206793738049713","0","0","0.473565283884535","0.495380047505938","0"
"6","Arenac County","0","0","0","0","0","0","0.603290889005175","0","0","0","0","0","0","0","0","0.564675324675325","0","0","0","0","0.520014556040757","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.25744948053431","0.633896713615023","3.17936816888756","3.16680535108494","3.79969830837194","1.27821058165655","0","0.612781794071096","0.582602288619902","0","0","0","0","0.467649108383738","0","0","0","0.360806651774634","0","0.328161483906165","0.301564439439439","0","0","0.248379807090066","0","0.220748315688162","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.182623574144487","0.179240556397917","0","0","0","0","0.192996645546031","0.195144076840982","0","0.422009939260077","0.447478827361564","0.236782641942267","0.990760095011877","0.521680517082179"
"7","Baraga County","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.14093023255814","0.580622347949081","0","0.608001538757453","0","0","0","0.633896713615023","0.635873633777512","9.50041605325482","1.89984915418597","2.5564211633131","0","0","0.582602288619902","0","0","0.516317508588162","0.493174607082096","0","0.439572912041833","0","0","0","0.336468080135506","0","0","0","0","0","0","0.220748315688162","0.420749120160885","0.214427480916031","0","0","0","0","0.208878822197056","0","0.202382506527415","0","0","0","0","0","0.186208495040966","0","0","0.179240556397917","0.356573631047315","0.180395214410539","0","0","0.192996645546031","0","0.206793738049713","0","0","0","0","0"
"8","Barry County","0","0","0","0","0","0.562044242907041","0","0","0","0","0","0.608749654982059","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.570159027128157","0.57046511627907","0","0.592984640929846","0","0.621747831887925","0","1.88617422080146","0.633896713615023","1.27174726755502","1.26672214043398","1.89984915418597","5.1128423266262","3.10660694288914","2.45112717628438","2.33040915447961","0","0.538541358649132","0.516317508588162","0.493174607082096","0","0.439572912041833","0.41103811315711","0.780941190090299","1.0824199553239","0.336468080135506","0.328161483906165","0.603128878878879","0.288452846241791","0","0.993519228360266","0.928878200456688","0.662244947064485","0","0.214427480916031","0.407034739454094","0","0.201947885519009","0","0.208878822197056","0","0","0","0.198211382113821","0","0","0","0.372416990081932","0.185495592882089","0.182623574144487","0","0","0.180395214410539","0.179075123771256","0.18345822496749","0.192996645546031","0.585432230522946","0.62038121414914","0.844019878520155","0.894957654723127","0.473565283884535","1.23845011876485","0.782520775623269"
"9","Bay County","0","0","0","0","0","1.12408848581408","0","1.87396308919041","2.52751078483312","1.23578104138852","3.7372468320156","1.82624896494618","3.00081037277147","1.15760332212774","1.11090092220383","0","0.539302446642374","0","0.514261019878997","0","0","0","0","2.17249931110499","2.66729352766024","0.551400243520612","1.12993224392188","1.61708108108108","1.14031805425631","2.28186046511628","0.580622347949081","1.18596928185969","0","4.35223482321548","2.47914590747331","3.77234844160292","4.43727699530516","5.7228627039976","6.33361070216988","18.3652084904644","14.6994216890503","14.29039193729","7.96616332292424","7.57382975205873","13.4580066717988","7.00103766243872","11.3589851889396","3.94539685665677","4.20884197545364","2.637437472251","1.23311433947133","3.12376476036119","0.721613303549268","0.672936160271012","1.31264593562466","1.80938663663664","0.865358538725373","0.796657349173073","0.496759614180133","1.6255368507992","0.882993262752647","1.89337104072398","1.92984732824427","0.407034739454094","0.214838943177705","1.00973942759504","0.399586614173228","0.208878822197056","0.208738461538462","0","0","0","0.201473263004729","0","0","0.372416990081932","0.556486778646267","0.54787072243346","0.358481112795834","0.178286815523658","0.180395214410539","0","0.550374674902471","1.15797987327618","0.780576307363927","1.44755616634799","0.844019878520155","1.78991530944625","2.84139170330721","1.73383016627078","2.08672206832872"
"10","Benzie County","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.521612230715775","0","0","0","0","0.533458705532048","0","0","0","0","0","0","0","0","0","0","0.628724740267154","0","1.27174726755502","1.90008321065096","1.89984915418597","1.27821058165655","4.97057110862262","3.06390897035548","0.582602288619902","0.560750277991618","0","0.516317508588162","0.493174607082096","0.467649108383738","0","0","0","0.360806651774634","0","0","0","0","0","0","0","0.220748315688162","0.210374560080442","0","0","0.214838943177705","0.201947885519009","0","0","0","0","0","0","0","0","0","0.372416990081932","0","0","0","0","0","0","0","0","0","0.413587476099426","0","0","0.236782641942267","0.743070071258907","0.26084025854109"
"11","Berrien County","0","0","0","0.500155520995334","0.511604938271605","1.68613272872112","3.01645444502587","3.12327181531734","3.1593884810414","3.08945260347129","4.9829957760208","8.52249516974883","3.60097244732577","2.31520664425549","0","1.69402597402597","0","0","0.514261019878997","0","1.56004366812227","0.527279296639769","1.07567086353809","1.08624965555249","0","0.551400243520612","0.564966121960941","0.539027027027027","0.570159027128157","0.57046511627907","0.580622347949081","1.18596928185969","1.82400461627236","0.621747831887925","4.95829181494662","3.14362370133577","5.70507042253521","3.17936816888756","5.0668885617359","10.1325288223252","14.0603163982221","12.4264277715566","9.19172691106643","8.15643204067863","3.36450166794971","1.6156240759474","5.16317508588162","0.986349214164191","1.87059643353495","3.07701038429283","1.23311433947133","1.5618823801806","1.0824199553239","1.00940424040652","0.328161483906165","0.301564439439439","0.865358538725373","1.32776224862179","0.248379807090066","1.85775640091338","0.662244947064485","1.05187280040221","0.643282442748092","1.01758684863524","0.644516829533116","0.403895771038018","0.399586614173228","0","0.417476923076923","0.607147519582245","0.645146878824969","0.396422764227642","0.201473263004729","0.382482252141983","0","0","0.370991185764178","0.730494296577947","0.179240556397917","0.178286815523658","0.541185643231617","0.716300495085025","0.550374674902471","1.35097651882221","1.36600853788687","0.206793738049713","0.211004969630039","0.447478827361564","0.947130567769069","1.23845011876485","1.30420129270545"
