"","County","X3.10.20","X3.17.20","X3.24.20","X3.31.20","X4.7.20","X4.14.20","X4.21.20","X4.28.20","X5.5.20","X5.12.20","X5.19.20","X5.26.20","X6.2.20","X6.9.20","X6.16.20","X6.23.20","X6.30.20","X7.7.20","X7.14.20","X7.21.20","X7.28.20","X8.4.20","X8.11.20","X8.18.20","X8.25.20","X9.1.20","X9.8.20","X9.15.20","X9.22.20","X9.29.20","X10.6.20","X10.13.20","X10.20.20","X10.27.20","X11.3.20","X11.10.20","X11.17.20","X11.24.20","X12.1.20","X12.8.20","X12.15.20","X12.22.20","X12.29.20","X1.5.21","X1.12.21","X1.19.21","X1.26.21","X2.2.21","X2.9.21","X2.16.21","X2.23.21","X3.2.21","X3.9.21","X3.16.21","X3.23.21","X3.30.21","X4.6.21","X4.13.21","X4.20.21","X4.27.21","X5.4.21","X5.11.21","X5.18.21","X5.25.21","X6.1.21","X6.8.21","X6.15.21","X6.22.21","X6.29.21","X7.6.21","X7.13.21","X7.20.21","X7.27.21","X8.3.21","X8.10.21","X8.17.21","X8.24.21","X8.31.21","X9.7.21","X9.14.21","X9.21.21","X9.28.21","X10.5.21","X10.12.21","X10.19.21","X10.26.21","X11.2.21","X11.9.21","X11.16.21","X11.23.21","X11.30.21"
"1","Alcona County",0,0,0,0,0,0,0,0,0.998713388329675,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.996395549286946,0,0,0,0,0,0,0,0,0,0.997722419928826,0,0,0,0.998463803366831,3.99504363753906,2.99584189647756,2.99569988801792,0,2.92297770807362,0.95103973141733,1.8551648380152,2.71355409134426,0,0.857418717090454,0,0,0,0,0,0.722771412984179,0,0,0.65982219116391,0.63964624827759,0,1.18908084696824,0,0.593893129770992,1.78751240694789,0,0,0,0.59925254813137,0,0,0,0,0,0,0,0,1.81351322135373,0,0.606361658645923,0,0.605127033203388,0.60572648346129,0,0,0.601368196371398,0.598677103250478,1.78903368304804,0,1.77440451156567,0,1.75969529085873
"2","Alger County",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.999230621273322,0,0,0,0.99887323943662,0,0,0,0,0,0,0,0.95103973141733,0,0,0,0,0,1.62589432775053,0,0,0,0,0,0,0,0.63964624827759,0,0,0,0,0,0,0.59753951302862,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.602877376071562,0,0.598677103250478,0,0,0,0,0
"3","Allegan County",0,0,0,0,0,0,0,0.998328081795383,0.998713388329675,0,0.998158778295245,2.99751587082528,0,0,0,0,0.994534096824571,0,0,0,0,0,0,0,0,0,0,0.996108108108108,0,0,0,0,0,0,0,1.99680328804658,7.99098591549296,8.9845036682138,7.98771042693465,6.99132636569335,4.9930698274626,9.98566629339306,9.98716687342259,8.76893312422085,12.3635165084253,4.637912095038,6.3316262131366,5.28375182577585,5.14451230254272,3.34005081150412,1.62589432775053,0,0,0,0,0,0,2.63928876465564,2.55858499311036,0,3.56724254090472,2.99073655103067,1.78167938931298,1.78751240694789,4.17355048859935,1.19507902605724,2.99798228346457,1.19850509626274,1.19955692307692,0,0.596468788249694,0,0,0,0.603008104738155,0,0.604504407117911,0.605299519334242,1.21272331729185,1.21128920786816,0,3.02863241730645,3.02340295838752,0.602877376071562,2.40547278548559,2.99338551625239,3.57806736609608,3.56814332247557,1.18293634104378,5.89115201900237,4.10595567867036
"4","Alpena County",0,0,0,0,0,0,0.999011570440142,2.99498424538615,2.99614016498903,0.99768580329328,0.998158778295245,0,0,0,1.99574367462757,0,0,0,0.994814174589455,0.99638637943016,0,0,0,0.99669330394048,0,0,0,0,0,0,0,0,0,0,0,0.99840164402329,0.99887323943662,0,0.998463803366831,0.998760909384765,2.99584189647756,2.99569988801792,0.998716687342259,5.84595541614724,6.65727811992131,3.7103296760304,1.80903606089617,0.880625304295975,0.857418717090454,0,0.812947163875266,0.788664621440148,0,0,0,0,1.35700087740289,1.97946657349173,0.63964624827759,0.615770052956323,2.37816169393648,0.598147310206134,0.593893129770992,0,0,1.19507902605724,0,0,0.599778461538462,0,0.596468788249694,0,0,1.20241860465116,0,0,0,0,0,0.605644603934078,0.605127033203388,0.60572648346129,0,0,0,0.598677103250478,1.78903368304804,0,3.54880902313133,1.17823040380048,0
"5","Antrim County",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.99840164402329,1.99774647887324,1.99655637071418,0.998463803366831,0.998760909384765,0.99861396549252,0,0.998716687342259,1.94865180538241,1.90207946283466,2.7827472570228,0.904518030448086,0.880625304295975,0.857418717090454,0,0,0.788664621440148,0,0,0,0,0,1.31964438232782,0.63964624827759,2.46308021182529,0,0,0.593893129770992,0,0.596221498371335,0,0,0,0.599778461538462,0,0,0,0,0,0.603008104738155,0,1.20900881423582,0,0,0,0.605127033203388,0,0,0.602877376071562,1.2027363927428,0.598677103250478,0,0,1.18293634104378,1.17823040380048,0
"6","Arenac County",0,0,0,0,0,0,0.999011570440142,0,0,0,0,0,0,0,0,0.996883116883117,0,0,0,0,0.996482290150412,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.99680328804658,0.99887323943662,4.99139092678545,4.99231901683415,5.99256545630859,1.99722793098504,0,0.998716687342259,0.974325902691206,0,0,0,0,0.857418717090454,0,0,0,0.767987920906759,0,0.722771412984179,0.702705580580581,0,0,0.63964624827759,0,0.594540423484119,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.605299519334242,0.606361658645923,0,0,0,0,0.602877376071562,0.601368196371398,0,1.19268912203203,1.18938110749186,0.591468170521889,2.35646080760095,1.17313019390582
"7","Baraga County",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.99674418604651,0.997878359264498,0,0.999230621273322,0,0,0,0.99887323943662,0.998278185357089,14.9769570505025,2.99628272815429,3.99445586197008,0,0,0.974325902691206,0,0,0.904518030448086,0.880625304295975,0,0.83501270287603,0,0,0,0.746867005431926,0,0,0,0,0,0,0.594540423484119,1.19629462041227,0.593893129770992,0,0,0,0,0.59925254813137,0,0.600241514360313,0,0,0,0,0,0.602400819318672,0,0,0.606361658645923,1.21128920786816,0.605127033203388,0,0,0.602877376071562,0,0.598677103250478,0,0,0,0,0
"8","Barry County",0,0,0,0,0,0.998222930326613,0,0,0,0,0,0.999171956941761,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.997895229186155,0.998372093023256,0,0.997924449979244,0,0.998498999332889,0,2.99520493206987,0.99887323943662,1.99655637071418,1.99692760673366,2.99628272815429,7.98891172394016,4.99283314669653,3.99486674936904,3.89730361076482,0,0.9275824190076,0.904518030448086,0.880625304295975,0,0.83501270287603,0.812947163875266,1.5773292428803,2.30396376272028,0.746867005431926,0.722771412984179,1.40541116116116,0.678500438701444,0,2.55858499311036,2.46308021182529,1.78362127045236,0,0.593893129770992,1.19167493796526,0,0.59753951302862,0,0.59925254813137,0,0,0,0.60099593495935,0,0,0,1.20480163863734,0.604504407117911,0.605299519334242,0,0,0.605127033203388,0.60572648346129,0.604680591677503,0.602877376071562,1.80410458911419,1.79603130975143,2.38537824406405,2.37876221498371,1.18293634104378,2.94557600950119,1.75969529085873
"9","Bay County",0,0,0,0,0,1.99644586065323,0,2.99498424538615,3.9948535533187,1.99537160658656,5.98895266977147,2.99751587082528,4.98946515397083,1.99644057741744,1.99574367462757,0,0.994534096824571,0,0.994814174589455,0,0,0,0,3.98677321576192,4.98197774643473,0.997738737171682,1.99521721801515,2.98832432432432,1.99579045837231,3.99348837209302,0.997878359264498,1.99584889995849,0,6.98949299533022,3.9908896797153,5.99040986413974,6.99211267605634,8.9845036682138,9.98463803366831,28.9640663721582,22.968121206328,22.967032474804,12.9833169354494,12.6662367349857,22.8249535540159,12.0585714470988,19.8993966698579,7.0450024343678,7.71676845381408,5.01007621725618,2.4388414916258,6.30931697152119,1.53597584181352,1.49373401086385,2.89108565193672,4.21623348348348,2.03550131610433,1.97946657349173,1.27929249655518,4.31039037069426,2.37816169393648,5.3833257918552,5.34503816793893,1.19167493796526,0.596221498371335,2.9876975651431,1.19919291338583,0.59925254813137,0.599778461538462,0,0,0,0.597137140778465,0,0,1.20480163863734,1.81351322135373,1.81589855800273,1.21272331729185,0.605644603934078,0.605127033203388,0,1.81404177503251,3.61726425642937,2.40547278548559,4.19073972275335,2.38537824406405,4.75752442996743,7.09761804626267,4.12380641330166,4.69252077562327
"10","Benzie County",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.99638637943016,0,0,0,0,0.996395549286946,0,0,0,0,0,0,0,0,0,0,0.99840164402329,0,1.99655637071418,2.99539141010049,2.99628272815429,1.99722793098504,7.98853303471445,4.9935834367113,0.974325902691206,0.95103973141733,0,0.904518030448086,0.880625304295975,0.857418717090454,0,0,0,0.767987920906759,0,0,0,0,0,0,0,0.594540423484119,0.598147310206134,0,0,0.596221498371335,0.59753951302862,0,0,0,0,0,0,0,0,0,1.20480163863734,0,0,0,0,0,0,0,0,0,1.19735420650096,0,0,0.591468170521889,1.76734560570071,0.586565096952909
