DATE,GEOGRAPHY_TYPE,STATEFIPS,STATE_NAME,DEMOGRAPHIC_CATEGORY,DEMOGRAPHIC_GROUP,ACS_Population,Administered_Dose1_recip,Administered_Dose2_recip,Full_or_Partial_Vaccinated_Percent,Fully_Vaccinated,Fully_Vaccinated_Percent
"2021-05-24","State","06","California","AGE GROUP","17 YEARS AND UNDER","8879864.0","838852.0","292523.0","0.0944667621","292523.0","0.0329422838"
"2021-10-29","State","05","Arkansas","TOTAL","TOTAL","3017804.0","1747234.0","1346935.0","0.5789753079","1346935.0","0.4463295164"
"2021-10-25","State","10","Delaware","AGE GROUP","65 YEARS AND OVER","189093.0","170299.0","155942.0","0.9006097529","155942.0","0.8246841501"
"2021-10-11","State","01","Alabama","AGE GROUP","30 TO 49","1224566.0","651600.0"," ","0.5321068852"," "," "
"2021-05-17","State","11","District of Columbia","AGE GROUP","16 TO 19","33203.0","5823.0","2747.0","0.1753757191","2747.0","0.08273348794"
"2021-04-28","State","08","Colorado","RACE/ETHNICITY","HISPANIC OR LATINO","1256953.0","218441.0"," ","0.173786132"," "," "
"2021-10-25","State","04","Arizona","AGE GROUP","20 TO 44","2392266.0","1397727.0"," ","0.584269057"," "," "
"2021-10-27","State","09","Connecticut","AGE GROUP","16 TO 24","435849.0","314116.0","280553.0","0.7206991412","280553.0","0.6436931139"
"2021-10-25","State","02","Alaska","AGE GROUP","10 TO 19","91078.0","41100.0"," ","0.451261556"," "," "
"2021-05-24","State","06","California","AGE GROUP","Unknown","0.0","3518577.0","0.0","0.1197134208","0.0","0.0"
"2021-10-18","State","06","California","AGE GROUP","18 TO 49","1.7548314E7","1.32429E7","1.1853995E7","0.7546536949","1.1853995E7","0.6755062053"
"2021-10-18","State","06","California","AGE GROUP","50 TO 64","7248674.0","6336168.0","5805322.0","0.8741140793","5805322.0","0.8008805473"
"2021-10-18","State","06","California","AGE GROUP","65 YEARS AND OVER","5835371.0","5455170.0","4962910.0","0.9348454451","4962910.0","0.850487484"
"2021-10-18","State","06","California","RACE/ETHNICITY","AMERICAN INDIAN OR ALASKA NATIVE","146125.0","94725.0","81076.0","0.6482463644","81076.0","0.5548400342"
"2021-10-18","State","06","California","RACE/ETHNICITY","ASIAN","5786246.0","4273787.0","3996272.0","0.7386113553","3996272.0","0.6906502074"
"2021-10-18","State","06","California","RACE/ETHNICITY","BLACK","2180361.0","1152266.0","1029458.0","0.5284748718","1029458.0","0.472150254"
"2021-10-18","State","06","California","RACE/ETHNICITY","HISPANIC OR LATINO","1.5577154E7","8140453.0","7187924.0","0.5225892355","7187924.0","0.4614401321"
"2021-10-18","State","06","California","RACE/ETHNICITY","NATIVE HAWAIIAN OR OTHER PACIFIC ISLANDER","140539.0","139857.0","126242.0","0.9951472545","126242.0","0.898270231"
"2021-10-18","State","06","California","RACE/ETHNICITY","TWO OR MORE RACES OR OTHER","106679.0","2396733.0","2070083.0","22.466774154","2070083.0","19.404784447"
"2021-10-18","State","06","California","RACE/ETHNICITY","TWO OR MORE RACES OR OTHER","1219348.0","418418.0","397034.0","0.3431489616","397034.0","0.3256117204"
"2021-10-18","State","06","California","RACE/ETHNICITY","Unknown","0.0","3546546.0","0.0","0.1206650171","0.0","0.0"
"2021-10-18","State","06","California","RACE/ETHNICITY","WHITE","1.4355771E7","9228882.0","8518927.0","0.6428691291","8518927.0","0.5934148016"
"2021-10-18","State","06","California","SEX","FEMALE","1.9863536E7","1.4110623E7","1.2770956E7","0.7103782026","1.2770956E7","0.6429346719"
"2021-10-18","State","06","California","SEX","MALE","1.9648687E7","1.2922837E7","1.1618463E7","0.6576946846","1.1618463E7","0.5913098926"
"2021-10-18","State","06","California","SEX","Unknown","0.0","2358207.0","0.0","0.08023386356","0.0","0.0"
"2021-10-29","State","06","California","TOTAL","TOTAL","3.9512223E7","2.9391667E7","2.2308151E7","0.7438626523","2.2308151E7","0.5645886084"
"2021-10-25","State","02","Alaska","AGE GROUP","20 TO 29","111970.0","55900.0"," ","0.4992408681"," "," "
"2021-10-25","State","02","Alaska","AGE GROUP","30 TO 39","111444.0","67200.0"," ","0.6029934317"," "," "
"2021-10-25","State","02","Alaska","AGE GROUP","40 TO 49","82452.0","56400.0"," ","0.6840343473"," "," "
"2021-10-25","State","02","Alaska","AGE GROUP","50 TO 59","90451.0","61700.0"," ","0.6821372898"," "," "
"2021-10-25","State","02","Alaska","AGE GROUP","60 TO 69","85281.0","63500.0"," ","0.7445972725"," "," "
"2021-10-25","State","02","Alaska","AGE GROUP","70 TO 79","38996.0","33000.0"," ","0.8462406401"," "," "
"2021-10-25","State","02","Alaska","AGE GROUP","80 YEARS AND OVER","14971.0","11300.0"," ","0.754792599"," "," "
"2021-10-25","State","02","Alaska","AGE GROUP","Unknown","104902.0","43905.0"," ","0.101162429"," "," "
"2021-10-25","State","02","Alaska","RACE/ETHNICITY","AMERICAN INDIAN OR ALASKA NATIVE","111090.0","74900.0"," ","0.6742281033"," "," "
"2021-10-25","State","02","Alaska","RACE/ETHNICITY","ASIAN","43018.0","26200.0"," ","0.6090473755"," "," "
"2021-10-25","State","02","Alaska","RACE/ETHNICITY","BLACK","19132.0","9100.0"," ","0.4756429019"," "," "
"2021-10-25","State","02","Alaska","RACE/ETHNICITY","HISPANIC OR LATINO","52291.0","17900.0"," ","0.3423151211"," "," "
"2021-10-25","State","02","Alaska","RACE/ETHNICITY","NATIVE HAWAIIAN OR OTHER PACIFIC ISLANDER","11194.0","4900.0"," ","0.4377345006"," "," "
