date,age,one_dose_count,two_dose_count,JJ dose age,JJ dose total
2020-12-19,15- years,10,0,0,0
2020-12-26,15- years,10,0,0,0
2021-01-02,15- years,10,0,0,0
2021-01-09,15- years,11,1,0,0
2021-01-16,15- years,15,1,0,0
2021-01-23,15- years,18,1,0,0
2021-01-30,15- years,24,1,0,0
2021-02-06,15- years,24,1,0,0
2021-02-13,15- years,24,2,0,0
2021-02-20,15- years,23,4,0,0
2021-02-27,15- years,26,7,0,0
2021-03-06,15- years,29,7,0,4500
2021-03-13,15- years,35,8,0,18513
2021-03-20,15- years,42,11,0,32129
2021-03-27,15- years,58,15,1,31869
2021-04-03,15- years,83,16,0,29491
2021-04-10,15- years,130,27,0,95305
2021-04-17,15- years,167,37,0,15329
2021-04-24,15- years,191,56,2,339
2021-05-01,15- years,197,83,0,8183
2021-05-08,15- years,204,116,0,14668
2021-05-15,15- years,32950,176,0,13704
2021-05-22,15- years,84136,241,0,13502
2021-05-29,15- years,103088,301,4,10096
2021-06-05,15- years,85702,27967,0,6521
2021-06-12,15- years,46506,76096,0,6874
2021-06-19,15- years,33145,96837,0,5433
2021-06-26,15- years,29321,106654,4,4565
2021-07-03,15- years,26330,114394,0,3570
2021-07-10,15- years,23347,121141,0,3274
2021-07-17,15- years,21975,126881,0,2706
2021-07-24,15- years,22915,131647,0,3004
2021-07-31,15- years,25587,135464,11,3450
2021-08-07,15- years,28730,139578,0,3751
2021-08-14,15- years,30637,144686,0,3450
2021-08-21,15- years,31414,150743,0,3417
2021-08-28,15- years,30644,157638,4,3503
2021-09-04,15- years,28863,163964,0,2725
2021-09-11,15- years,26097,169522,0,2330
2021-09-18,15- years,23672,174925,0,2512
2021-09-25,15- years,22160,179017,4,1686
2021-10-02,15- years,21316,181858,0,1853
2021-10-09,15- years,20374,184552,0,1589
2021-10-16,15- years,19610,186968,0,1758
2021-10-23,15- years,19244,188970,0,1744
2021-10-30,15- years,19040,190647,0,2105
2021-11-06,15- years,19061,191475,0,2882
2020-12-19,16-19 years,61,0,0,
2020-12-26,16-19 years,222,3,0,
2021-01-02,16-19 years,616,12,0,
2021-01-09,16-19 years,1365,97,0,
2021-01-16,16-19 years,2113,250,0,
2021-01-23,16-19 years,2683,522,0,
2021-01-30,16-19 years,2768,1192,0,
