"","county","date","agegrp","dose1","dose2","age2064tot","age6574tot","age75tot","cumdose1","cumdose2","cuminit","agetotal","unvaccinated","propinit","full","abbr","fips"
"1","Alcona County",2020-12-19,"20-64 years",8,0,5209,2056,1705,8,0,8,5209,5201,0.0015358034171626,"Michigan","MI",26001
"2","Alcona County",2020-12-26,"20-64 years",43,0,5209,2056,1705,51,0,51,5209,5158,0.0097907467844116,"Michigan","MI",26001
"3","Alcona County",2020-12-26,"65-74 years",7,0,5209,2056,1705,7,0,7,2056,2049,0.00340466926070039,"Michigan","MI",26001
"4","Alcona County",2020-12-26,"75+ years",2,0,5209,2056,1705,2,0,2,1705,1703,0.00117302052785924,"Michigan","MI",26001
"5","Alcona County",2021-01-02,"20-64 years",36,0,5209,2056,1705,87,0,87,5209,5122,0.0167018621616433,"Michigan","MI",26001
"6","Alcona County",2021-01-02,"65-74 years",5,0,5209,2056,1705,12,0,12,2056,2044,0.00583657587548638,"Michigan","MI",26001
"7","Alcona County",2021-01-02,"75+ years",7,0,5209,2056,1705,9,0,9,1705,1696,0.00527859237536657,"Michigan","MI",26001
"8","Alcona County",2021-01-09,"20-64 years",66,7,5209,2056,1705,153,7,146,5209,5056,0.0293722403532348,"Michigan","MI",26001
"9","Alcona County",2021-01-09,"65-74 years",24,0,5209,2056,1705,36,0,36,2056,2020,0.0175097276264591,"Michigan","MI",26001
"10","Alcona County",2021-01-09,"75+ years",12,0,5209,2056,1705,21,0,21,1705,1684,0.012316715542522,"Michigan","MI",26001
"11","Alcona County",2021-01-16,"20-64 years",136,15,5209,2056,1705,289,22,267,5209,4920,0.055480898444999,"Michigan","MI",26001
"12","Alcona County",2021-01-16,"65-74 years",70,2,5209,2056,1705,106,2,104,2056,1950,0.051556420233463,"Michigan","MI",26001
"13","Alcona County",2021-01-16,"75+ years",105,0,5209,2056,1705,126,0,126,1705,1579,0.073900293255132,"Michigan","MI",26001
"14","Alcona County",2021-01-23,"20-64 years",40,35,5209,2056,1705,329,57,272,5209,4880,0.0631599155308121,"Michigan","MI",26001
"15","Alcona County",2021-01-23,"65-74 years",125,6,5209,2056,1705,231,8,223,2056,1825,0.112354085603113,"Michigan","MI",26001
"16","Alcona County",2021-01-23,"75+ years",98,2,5209,2056,1705,224,2,222,1705,1481,0.131378299120235,"Michigan","MI",26001
"17","Alcona County",2021-01-30,"20-64 years",20,38,5209,2056,1705,349,95,254,5209,4860,0.0669994240737186,"Michigan","MI",26001
"18","Alcona County",2021-01-30,"65-74 years",63,6,5209,2056,1705,294,14,280,2056,1762,0.142996108949416,"Michigan","MI",26001
"19","Alcona County",2021-01-30,"75+ years",100,6,5209,2056,1705,324,8,316,1705,1381,0.190029325513196,"Michigan","MI",26001
"20","Alcona County",2021-02-06,"20-64 years",22,166,5209,2056,1705,371,261,110,5209,4838,0.0712228834709157,"Michigan","MI",26001
"21","Alcona County",2021-02-06,"65-74 years",196,71,5209,2056,1705,490,85,405,2056,1566,0.238326848249027,"Michigan","MI",26001
"22","Alcona County",2021-02-06,"75+ years",186,84,5209,2056,1705,510,92,418,1705,1195,0.299120234604106,"Michigan","MI",26001
"23","Alcona County",2021-02-13,"20-64 years",18,29,5209,2056,1705,389,290,99,5209,4820,0.0746784411595316,"Michigan","MI",26001
"24","Alcona County",2021-02-13,"65-74 years",212,42,5209,2056,1705,702,127,575,2056,1354,0.341439688715953,"Michigan","MI",26001
"25","Alcona County",2021-02-13,"75+ years",171,47,5209,2056,1705,681,139,542,1705,1024,0.39941348973607,"Michigan","MI",26001
"26","Alcona County",2021-02-20,"20-64 years",27,39,5209,2056,1705,416,329,87,5209,4793,0.0798617776924554,"Michigan","MI",26001
"27","Alcona County",2021-02-20,"65-74 years",127,113,5209,2056,1705,829,240,589,2056,1227,0.403210116731518,"Michigan","MI",26001
